Resource Name/Title,Resource Organization,Resource Web URL
Registry of Open Data on AWS,Amazon Web Services,https://registry.opendata.aws/
Climate Data Sets on Google Cloud,Google Cloud Platform,https://console.cloud.google.com/marketplace/browse?filter=solution-type:dataset&filter=category:climate
USGS Science Base,USGS,https://www.sciencebase.gov/catalog/
Indigenous Epistemologies & Open Science: Learning from the Land -- Podcast,Knowledge Equity Lab,https://knowledgeequitylab.ca/podcast/
Open Access for Open Science,NASA Earth Science Data Systems,https://earthdata.nasa.gov/esds/open-science
Open Science for Climate Action: Report from the 2nd Open Science Conference,United Nations,https://www.un.org/sites/un2.un.org/files/open_science_for_climate_action_final.pdf
Open Science Reports and Policy Notes,OECD (Organization for Economic Co-operation and Development),https://www.oecd.org/sti/inno/open-science.htm
Open Science - Information and Advocacy,UNESCO,https://www.unesco.org/en/natural-sciences/open-science
Environmental Justice,"Mary Ann Liebert, Inc., publishers",https://home.liebertpub.com/publications/environmental-justice/259/
Environmental Justice,NASA Earth Science Data Systems,https://earthdata.nasa.gov/learn/backgrounders/environmental-justice
IN PIECES: An Interactive Exhibit of Endangered Species,"Bryan James, Interactive Designer",http://species-in-pieces.com/#
Climate of the Past,European Geosciences Union,https://www.climate-of-the-past.net/
Climate.gov: Science and Information for a Climate-smart Nation,NOAA - National Ocean and Atmospheric Administration,http://climate.gov/
Historical Climatology Databases,Historical Climatology,http://www.historicalclimatology.com/databases.html
International Climate Action,World Resources Institute,https://www.wri.org/climate/international-climate-action
Data Refuge,Penn Program in Environmental Humanities,https://www.datarefuge.org/
Environmental Data and Governance Initiative,,https://envirodatagov.org/
NC State University Libraries - Weather and Climate Data Resource page,NC State University Libraries,https://www.lib.ncsu.edu/gis/noaaclim
Open Climate Project,Yale Open Innovation Lab,https://www.openlab.yale.edu/open-climate
Data Humanisn,Giorgia Lupi,http://giorgialupi.com/data-humanism-my-manifesto-for-a-new-data-wold
Open Science and Data Science,Data Intelligence (MIT Press),https://direct.mit.edu/dint/article/3/1/95/94912/Open-Science-and-Data-Science
FAIR Principles for Data,European Open Science Cloud,https://www.go-fair.org/fair-principles/
Data Literacy Curriculum for Democracy Activists,International Republican Institute,https://www.iri.org/resources/iri-data-literacy-curriculum/
"Call for Weather, Climate, and Hydrological Information Datasets to be made Open and Freely Available as Digital Public Goods",Digital Public Goods Alliance,https://digitalpublicgoods.net/blog/dpga-itu-and-wmo-call-for-weather-climate-and-hydrological-datasets-to-be-dpgs/